                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1014,                0.85057,                0.99713,                0.69235,                0.62085,                0.66673,                0.45912,                 1.0434,                0.91598,                 1.0579,               0.006634,               0.006634,               0.006634
                     36,                 1.0755,                0.74292,                0.95399,                0.71331,                0.68947,                0.71777,                0.48491,                0.99885,                0.79971,                 1.0122,               0.006535,               0.006535,               0.006535
                     37,                 1.1049,                0.79517,                0.98022,                0.72486,                0.66518,                 0.7033,                0.47875,                 0.9981,                  0.822,                 1.0122,               0.006436,               0.006436,               0.006436
                     38,                 1.1562,                0.78147,                0.98175,                0.72003,                0.63425,                0.67412,                0.46797,                 1.0653,                0.97888,                 1.0528,               0.006337,               0.006337,               0.006337
                     39,                 1.0938,                0.78999,                0.98569,                0.71765,                0.69919,                0.71848,                0.48661,                0.98741,                 0.8614,                 1.0112,               0.006238,               0.006238,               0.006238
                     40,                 1.0796,                0.80699,                0.98996,                0.74237,                0.66268,                0.69689,                 0.4766,                0.97936,                0.77266,                0.99853,               0.006139,               0.006139,               0.006139
                     41,                 1.1029,                0.79129,                0.98489,                0.79406,                 0.7189,                0.79336,                 0.5492,                0.93317,                0.69641,                0.97786,                0.00604,                0.00604,                0.00604
                     42,                 1.1182,                0.75594,                0.98137,                0.77305,                0.69448,                0.76099,                0.51662,                 1.0172,                0.77431,                 1.0148,               0.005941,               0.005941,               0.005941
                     43,                 1.0782,                0.75359,                0.98194,                 0.7973,                0.66967,                0.74958,                0.51303,                 0.9888,                0.72842,                0.97728,               0.005842,               0.005842,               0.005842
                     44,                 1.1028,                0.78609,                0.98179,                0.75207,                0.72016,                0.76783,                0.53652,                0.92077,                0.69693,                 0.9609,               0.005743,               0.005743,               0.005743
                     45,                 1.0907,                0.78167,                 0.9694,                0.78049,                0.70787,                0.77899,                0.54116,                0.93891,                0.68524,                0.96385,               0.005644,               0.005644,               0.005644
                     46,                 1.0968,                0.78371,                0.98362,                0.78806,                0.68047,                0.76491,                0.54208,                0.89908,                0.64549,                0.95325,               0.005545,               0.005545,               0.005545
                     47,                 1.1654,                0.77606,                0.97206,                0.79346,                0.71615,                0.78938,                0.56053,                0.90644,                0.65559,                0.95752,               0.005446,               0.005446,               0.005446
                     48,                 1.0725,                0.73811,                0.97579,                0.75904,                0.72305,                0.77604,                0.54459,                 0.9094,                0.66813,                0.95677,               0.005347,               0.005347,               0.005347
                     49,                 1.0666,                0.74173,                0.98719,                0.79092,                 0.7039,                0.77086,                0.55953,                0.87246,                0.63944,                0.94424,               0.005248,               0.005248,               0.005248
                     50,                 1.0195,                0.71411,                0.96373,                0.79536,                0.73963,                0.80705,                0.57572,                0.87805,                0.63855,                0.95305,               0.005149,               0.005149,               0.005149
                     51,                 1.0795,                0.76273,                0.98578,                0.79048,                0.74804,                0.81357,                0.58467,                0.87192,                0.62343,                0.94835,                0.00505,                0.00505,                0.00505
                     52,                0.94259,                0.67933,                0.94762,                0.79172,                0.75695,                0.81227,                 0.5845,                0.87514,                0.64206,                0.94979,               0.004951,               0.004951,               0.004951
                     53,                 1.0014,                0.73814,                0.97522,                0.78308,                0.75398,                0.80618,                0.57861,                0.86463,                 0.6129,                0.95007,               0.004852,               0.004852,               0.004852
                     54,                  1.035,                0.73122,                0.96571,                0.81873,                0.73692,                0.79801,                0.57096,                0.86218,                0.64353,                0.94896,               0.004753,               0.004753,               0.004753
                     55,                 1.0247,                0.72266,                0.94937,                0.79793,                0.74567,                0.78409,                0.56208,                0.85775,                 0.6216,                0.94361,               0.004654,               0.004654,               0.004654
                     56,                0.97247,                0.68374,                0.95887,                0.83552,                0.67858,                0.76924,                0.55083,                0.87232,                 0.6465,                0.95199,               0.004555,               0.004555,               0.004555
                     57,                 0.9582,                  0.682,                0.95771,                0.84145,                0.66365,                0.75301,                0.54594,                 0.8588,                0.63311,                0.94183,               0.004456,               0.004456,               0.004456
                     58,                0.97778,                0.75568,                0.98853,                0.85653,                0.67074,                 0.7794,                0.56162,                0.86339,                0.62949,                0.95069,               0.004357,               0.004357,               0.004357
                     59,                0.99211,                0.71877,                0.97262,                0.79516,                0.73154,                0.78466,                0.56754,                0.86365,                0.63274,                0.94632,               0.004258,               0.004258,               0.004258
                     60,                 1.0102,                0.68695,                0.93691,                0.83741,                0.71514,                0.78469,                 0.5647,                0.87387,                0.63598,                0.94692,               0.004159,               0.004159,               0.004159
                     61,                  1.029,                0.74046,                0.97598,                0.83658,                0.70226,                0.79092,                 0.5752,                0.86625,                0.67227,                0.94845,                0.00406,                0.00406,                0.00406
                     62,                0.97056,                0.68592,                 0.9449,                0.81179,                0.74889,                0.81286,                0.58738,                0.84228,                0.59485,                0.94162,               0.003961,               0.003961,               0.003961
                     63,                0.97872,                0.72605,                0.94262,                0.85306,                0.70737,                0.82001,                0.59097,                0.84542,                0.57942,                0.94492,               0.003862,               0.003862,               0.003862
                     64,                0.96438,                0.68376,                0.96766,                0.85803,                0.70377,                0.83265,                0.59539,                0.86285,                0.59134,                 0.9534,               0.003763,               0.003763,               0.003763
                     65,                0.96302,                0.67979,                0.95952,                0.87911,                  0.674,                0.82043,                0.59023,                0.86099,                0.58862,                0.94697,               0.003664,               0.003664,               0.003664
                     66,                0.93121,                0.64563,                0.94681,                0.87509,                0.68114,                0.82414,                0.59978,                0.84377,                0.59274,                0.93384,               0.003565,               0.003565,               0.003565
                     67,                0.89334,                0.65354,                0.95555,                0.78842,                0.75441,                0.83412,                 0.6011,                0.84227,                0.58044,                0.93099,               0.003466,               0.003466,               0.003466
                     68,                  1.073,                 0.6983,                0.93294,                0.84945,                 0.6963,                0.81489,                0.59066,                0.85515,                0.57312,                0.94092,               0.003367,               0.003367,               0.003367
                     69,                 1.0059,                0.70775,                0.96002,                0.82284,                0.71313,                0.82744,                0.60148,                0.83517,                0.57087,                0.93294,               0.003268,               0.003268,               0.003268
                     70,                0.93584,                0.69015,                0.93972,                0.83953,                0.70318,                0.83445,                0.60674,                0.82892,                0.56528,                0.93302,               0.003169,               0.003169,               0.003169
                     71,                 1.0148,                0.68728,                0.94281,                0.81334,                0.69536,                0.81338,                0.58707,                0.84209,                0.57786,                0.93314,                0.00307,                0.00307,                0.00307
                     72,                 1.0042,                 0.6697,                0.93912,                0.80959,                0.69716,                0.82443,                0.60004,                0.82609,                0.58055,                0.93565,               0.002971,               0.002971,               0.002971
                     73,                0.95783,                0.65953,                0.94011,                0.81654,                0.72441,                0.83789,                0.61406,                0.82338,                0.56694,                0.93014,               0.002872,               0.002872,               0.002872
                     74,                0.94816,                0.65194,                0.94794,                0.80373,                0.73133,                0.81871,                0.59881,                0.82625,                0.57034,                0.92806,               0.002773,               0.002773,               0.002773
                     75,                0.88858,                0.61606,                0.91016,                0.80651,                0.76287,                0.83751,                0.60625,                0.80264,                0.56064,                0.92914,               0.002674,               0.002674,               0.002674
                     76,                0.93634,                0.63053,                0.92449,                 0.8339,                0.74211,                0.83995,                 0.6131,                0.81196,                0.56706,                0.93102,               0.002575,               0.002575,               0.002575
                     77,                0.87316,                0.62309,                0.92475,                0.82216,                0.74068,                0.82929,                0.60595,                0.80424,                0.56533,                0.92415,               0.002476,               0.002476,               0.002476
                     78,                0.87698,                0.64801,                0.94517,                0.83341,                0.74079,                0.82206,                0.60421,                0.81268,                 0.5708,                0.92386,               0.002377,               0.002377,               0.002377
                     79,                0.92864,                0.62316,                0.93141,                0.83754,                 0.7391,                0.82726,                0.60277,                0.81036,                0.55802,                0.92182,               0.002278,               0.002278,               0.002278
                     80,                0.88945,                0.63345,                0.95293,                0.82204,                0.75048,                0.83168,                0.61368,                  0.811,                 0.5637,                0.92238,               0.002179,               0.002179,               0.002179
                     81,                 0.9245,                0.60493,                0.93653,                0.83592,                 0.7481,                 0.8335,                0.61052,                0.80577,                0.55959,                0.92173,                0.00208,                0.00208,                0.00208
                     82,                0.85679,                0.65003,                0.93809,                0.82123,                0.75535,                0.83605,                 0.6162,                 0.8001,                0.55213,                0.92048,               0.001981,               0.001981,               0.001981
                     83,                0.92132,                0.63856,                0.94631,                0.81102,                0.74449,                0.83169,                0.60797,                 0.8026,                0.56047,                0.91863,               0.001882,               0.001882,               0.001882
                     84,                0.88396,                0.61812,                0.93729,                0.83176,                0.73442,                0.83854,                0.61783,                 0.7977,                  0.551,                0.91613,               0.001783,               0.001783,               0.001783
                     85,                0.88646,                0.60427,                0.92275,                0.81532,                0.74742,                0.82992,                0.61297,                0.79984,                0.54801,                0.91846,               0.001684,               0.001684,               0.001684
                     86,                0.84996,                0.58146,                0.90653,                0.83809,                0.74621,                0.83433,                0.62148,                0.79304,                0.54669,                0.91919,               0.001585,               0.001585,               0.001585
                     87,                0.84201,                0.61304,                0.94119,                0.83855,                0.75017,                0.83893,                0.62859,                0.78496,                0.54728,                0.91975,               0.001486,               0.001486,               0.001486
                     88,                0.87631,                0.60041,                0.93651,                0.82476,                0.76096,                0.84051,                 0.6291,                0.78858,                0.55229,                0.92028,               0.001387,               0.001387,               0.001387
                     89,                0.87785,                0.61365,                0.92793,                0.82623,                0.75816,                0.84424,                0.63081,                0.78939,                0.54793,                0.92231,               0.001288,               0.001288,               0.001288
                     90,                 0.9039,                0.62552,                0.92805,                0.80959,                 0.7606,                0.84123,                0.63049,                0.79201,                0.54919,                0.92033,               0.001189,               0.001189,               0.001189
                     91,                0.86521,                0.58178,                0.91934,                0.79882,                 0.7662,                0.84171,                0.62737,                0.79669,                0.55468,                0.91789,                0.00109,                0.00109,                0.00109
                     92,                0.84705,                0.57115,                0.90173,                0.79909,                0.76859,                  0.842,                0.62608,                0.79663,                0.55688,                0.91774,               0.000991,               0.000991,               0.000991
                     93,                0.84688,                0.56181,                0.90463,                 0.8044,                0.76962,                0.84319,                0.62747,                0.79002,                0.55895,                0.91467,               0.000892,               0.000892,               0.000892
                     94,                0.83651,                0.54724,                0.89674,                0.80621,                0.76672,                0.83957,                0.62877,                 0.7836,                0.56076,                0.91217,               0.000793,               0.000793,               0.000793
                     95,                0.86429,                0.59206,                0.91261,                0.81199,                0.76956,                 0.8377,                0.62717,                0.78411,                0.56167,                0.91386,               0.000694,               0.000694,               0.000694
                     96,                0.84523,                0.54554,                0.90327,                0.81701,                0.77985,                0.83844,                0.62697,                0.78525,                0.56177,                  0.914,               0.000595,               0.000595,               0.000595
                     97,                0.86733,                0.56904,                0.90805,                0.81594,                0.77592,                0.83475,                0.62513,                0.78507,                0.55546,                0.91429,               0.000496,               0.000496,               0.000496
                     98,                0.88702,                0.56042,                 0.8994,                0.83055,                0.76473,                0.83527,                0.62632,                0.78302,                0.55091,                0.91373,               0.000397,               0.000397,               0.000397
                     99,                0.85732,                0.56897,                0.89355,                0.82367,                0.77325,                 0.8307,                0.62026,                0.78322,                0.55103,                0.91644,               0.000298,               0.000298,               0.000298
